CustomerID,CustomerName,Recency,Frequency,Monetary,RFM_Score,Segment,Cluster
2001,Emma Wambua,776,1,92345,114,Big Spenders,2.0
2002,David Mungai,740,1,56789,111,At Risk,1.0
2003,Lydia Onyango,706,1,78456,113,At Risk,2.0
2004,Samuel Kirui,690,1,64532,112,At Risk,1.0
2005,Grace Nyaga,655,1,87654,114,Big Spenders,2.0
2006,Isaac Mwende,619,1,71234,212,Others,1.0
2007,Mary Odera,584,1,59876,211,Others,1.0
2008,Joseph Ngugi,548,1,93456,214,Big Spenders,2.0
2009,Esther Mwiti,512,1,68901,212,Others,1.0
2010,Peter Kiptum,507,1,85678,213,Others,2.0
2011,Faith Wafula,471,1,62345,211,Others,1.0
2012,Paul Ochieng,436,1,78901,313,Others,0.0
2013,Rebecca Nyandiek,400,1,54678,311,Others,3.0
2014,Thomas Kibiwott,364,1,91234,314,Big Spenders,0.0
2015,Janet Omondi,331,1,67890,312,Others,3.0
2016,Simon Nyagah,325,1,84567,313,Others,0.0
2017,Lucy Kiprono,290,1,72345,312,Others,3.0
2018,Henry Wanjohi,254,1,89012,414,Loyal Customers,0.0
2019,Caroline Ouma,219,1,56789,411,Loyal Customers,3.0
2020,Stephen Mwale,183,1,93456,414,Loyal Customers,0.0
2021,Veronica Kariuki,771,1,68901,112,At Risk,1.0
2022,Bernard Nyabuto,735,1,85678,113,At Risk,2.0
2023,Monica Mutisya,701,1,62345,111,At Risk,1.0
2024,Andrew Mwanza,665,1,78901,113,At Risk,2.0
2025,Catherine Odongo,660,1,54678,111,At Risk,1.0
2026,Philip Kimutai,624,1,91234,124,Big Spenders,2.0
2027,Ruth Nganga,589,1,67890,222,Others,1.0
2028,Mark Odera,553,1,84567,223,Others,2.0
2029,Brenda Mwiti,517,1,72345,222,Others,1.0
2030,Kenneth Nyandiek,482,1,89012,224,Big Spenders,2.0
2031,Winnie Kibiwott,446,1,56789,221,Others,3.0
2032,Wilson Omondi,410,1,93456,324,Big Spenders,0.0
2033,Evelyn Nyagah,374,1,68901,322,Others,3.0
2034,Fredrick Kiprono,341,1,85678,323,Others,0.0
2035,Lilian Wanjohi,305,1,62345,321,Others,3.0
2036,Nicholas Ouma,270,1,78901,423,Loyal Customers,0.0
2037,Sharon Mwale,234,1,54678,421,Loyal Customers,3.0
2038,Anthony Kariuki,198,1,91234,424,Loyal Customers,0.0
2039,Priscilla Nyabuto,162,1,67890,422,Loyal Customers,3.0
2040,Victor Mutisya,127,1,84567,423,Loyal Customers,0.0
